id,neighbourhood,LAT_LONG
17452,Upper West Side,"40.79738, -73.96332"
17453,Harlem,"40.82719, -73.94484"
17454,Morningside Heights,"40.81012, -73.95825"
17455,West Village,"40.73908, -74.00378"
17456,Upper West Side,"40.77884, -73.98591"
17457,Gramercy,"40.73765, -73.98366"
17458,Harlem,"40.83001, -73.94925"
17459,Upper East Side,"40.76282, -73.96734"
17460,Midtown,"40.75651, -73.96696"
17461,East Harlem,"40.79707, -73.94739"
17462,Harlem,"40.82546, -73.95292"
17463,Harlem,"40.80811, -73.94486"
17464,Harlem,"40.80517, -73.95404"
17465,Upper West Side,"40.77401, -73.99056"
17466,Upper East Side,"40.77675, -73.95206"
17467,East Village,"40.7265, -73.98878"
17468,East Village,"40.73206, -73.98776"
17469,East Harlem,"40.78962, -73.94837"
17470,Midtown,"40.74712, -73.98461"
17471,Harlem,"40.81618, -73.94355"
17472,Harlem,"40.82335, -73.94902"
17473,Upper East Side,"40.78276, -73.95299"
17474,West Village,"40.73144, -74.00388"
17475,Chelsea,"40.74491, -74.0042"
17476,Chelsea,"40.74039, -74.00029"
17477,Harlem,"40.81304, -73.9456"
17478,Washington Heights,"40.84344, -73.93967"
17479,Harlem,"40.82808, -73.94126"
17480,Harlem,"40.79942, -73.95128"
17481,Washington Heights,"40.83543, -73.94372"
17482,Upper West Side,"40.77907, -73.97887"
17483,Hell's Kitchen,"40.76243, -73.99078"
17484,Chelsea,"40.73894, -73.9952"
17485,Financial District,"40.71028, -74.00929"
17486,Harlem,"40.81306, -73.94141"
17487,West Village,"40.73727, -74.00213"
17488,Upper East Side,"40.7786, -73.95104"
17489,West Village,"40.73455, -74.006"
17490,Lower East Side,"40.72275, -73.98918"
17491,Midtown,"40.75624, -73.96417"
17492,Upper West Side,"40.77772, -73.98514"
17493,Harlem,"40.81583, -73.94707"
17494,Chelsea,"40.74767, -73.99393"
17495,Tribeca,"40.71813, -74.00509"
17496,Midtown,"40.74431, -73.98196"
17497,East Harlem,"40.80832, -73.93889"
17498,East Harlem,"40.79422, -73.94383"
17499,Financial District,"40.71124, -74.00834"
17500,Upper East Side,"40.76719, -73.96973"
17501,West Village,"40.73788, -74.00183"
17502,Upper East Side,"40.7626, -73.96031"
17503,Harlem,"40.8235, -73.95139"
17504,Chelsea,"40.74618, -73.9963"
17505,Gramercy,"40.73421, -73.98834"
17506,East Harlem,"40.78512, -73.94409"
17507,Midtown,"40.75205, -73.98564"
17508,Inwood,"40.85925, -73.9297"
17509,East Harlem,"40.80942, -73.93936"
17510,Murray Hill,"40.7458, -73.97744"
17511,Midtown,"40.74517, -73.98484"
17512,Harlem,"40.83032, -73.9421"
17513,Little Italy,"40.71907, -73.99685"
17514,Murray Hill,"40.74938, -73.9802"
17515,Midtown,"40.75247, -73.9695"
17516,Morningside Heights,"40.81067, -73.96377"
17517,Upper West Side,"40.77872, -73.98025"
17518,West Village,"40.73552, -74.00554"
17519,Hell's Kitchen,"40.76694, -73.98773"
17520,Murray Hill,"40.74404, -73.97239"
17521,Inwood,"40.86813, -73.92393"
17522,Tribeca,"40.71612, -74.01054"
17523,Gramercy,"40.73727, -73.98432"
17524,Harlem,"40.80901, -73.95267"
17525,Financial District,"40.70815, -74.00619"
17526,Hell's Kitchen,"40.76476, -73.98457"
17527,East Harlem,"40.80906, -73.93686"
17528,Upper West Side,"40.77701, -73.97667"
17529,Washington Heights,"40.83235, -73.94117"
17530,Kips Bay,"40.7452, -73.97779"
17531,Midtown,"40.75704, -73.96531"
17532,Harlem,"40.81399, -73.95229"
17533,East Harlem,"40.79626, -73.94429"
17534,SoHo,"40.72652, -74.00266"
17535,Upper West Side,"40.77574, -73.98917"
17536,Roosevelt Island,"40.7662, -73.94676"
17537,Harlem,"40.8285, -73.94219"
17538,Financial District,"40.70552, -74.00941"
17539,East Village,"40.7278, -73.97997"
17540,Hell's Kitchen,"40.76118, -73.99342"
17541,Midtown,"40.75438, -73.96576"
17542,East Village,"40.72534, -73.98591"
17543,Chelsea,"40.74577, -74.0022"
17544,Upper East Side,"40.77127, -73.95175"
17545,Upper West Side,"40.77105, -73.9863"
17546,Financial District,"40.70676, -74.00612"
17547,Upper East Side,"40.77112, -73.95405"
17548,Flatiron District,"40.74283, -73.99273"
17549,East Village,"40.72554, -73.9838"
17550,SoHo,"40.71989, -74.00113"
17551,East Village,"40.72876, -73.98655"
17552,Roosevelt Island,"40.76182, -73.94879"
17553,Greenwich Village,"40.72913, -74.00074"
17554,Lower East Side,"40.71925, -73.99418"
17555,East Harlem,"40.79639, -73.94772"
17556,Upper West Side,"40.78054, -73.97779"
17557,Upper East Side,"40.77357, -73.94729"
17558,Financial District,"40.70613, -74.01583"
17559,Harlem,"40.81943, -73.9387"
17560,Upper East Side,"40.77357, -73.95193"
17561,Upper East Side,"40.76129, -73.96178"
17562,Inwood,"40.87136, -73.91723"
17563,East Village,"40.72686, -73.98743"
17564,Midtown,"40.75439, -73.96647"
17565,Upper West Side,"40.79452, -73.97065"
17566,Upper West Side,"40.79224, -73.97408"
17567,Upper East Side,"40.78335, -73.94822"
17568,Upper West Side,"40.76934, -73.9863"
17569,Lower East Side,"40.7198, -73.98434"
17570,Upper West Side,"40.77148, -73.98226"
17571,Morningside Heights,"40.81099, -73.95759"
17572,Harlem,"40.81855, -73.94447"
17573,East Village,"40.72468, -73.9783"
17574,Upper East Side,"40.76841, -73.95402"
17575,Hell's Kitchen,"40.76163, -73.99602"
17576,Murray Hill,"40.748, -73.97943"
17577,Little Italy,"40.71848, -73.99756"
17578,Kips Bay,"40.74342, -73.97505"
17579,Harlem,"40.82197, -73.94948"
17580,Midtown,"40.7531, -73.96986"
17581,Chelsea,"40.74358, -73.99758"
17582,East Village,"40.72838, -73.97926"
17583,Little Italy,"40.71943, -73.99712"
17584,East Harlem,"40.79313, -73.94154"
17585,Upper West Side,"40.78541, -73.97343"
17586,Harlem,"40.8063, -73.9454"
17587,Chelsea,"40.73916, -74.0006"
17588,Upper East Side,"40.78145, -73.95588"
17589,Harlem,"40.80272, -73.95564"
17590,Hell's Kitchen,"40.7603, -73.98822"
17591,Hell's Kitchen,"40.75989, -73.989"
17592,Upper West Side,"40.79509, -73.96649"
17593,Hell's Kitchen,"40.76617, -73.98398"
17594,Hell's Kitchen,"40.7653, -73.98737"
17595,Hell's Kitchen,"40.76291, -73.99179"
17596,Upper East Side,"40.7713, -73.95443"
17597,East Harlem,"40.79366, -73.94059"
17598,Upper East Side,"40.77707, -73.95154"
17599,Harlem,"40.8224, -73.95402"
17600,East Village,"40.72518, -73.98439"
17601,Washington Heights,"40.85359, -73.92982"
17602,Theater District,"40.7583, -73.98295"
17603,Harlem,"40.81919, -73.94554"
17604,Washington Heights,"40.85797, -73.93286"
17605,East Harlem,"40.79342, -73.93889"
17606,Financial District,"40.7068, -74.00632"
17607,Kips Bay,"40.74509, -73.97894"
17608,Harlem,"40.81254, -73.94118"
17609,Harlem,"40.80399, -73.95402"
17610,Kips Bay,"40.73819, -73.97389"
17611,East Village,"40.72792, -73.98106"
17612,Washington Heights,"40.84826, -73.94131"
17613,Upper West Side,"40.77306, -73.98637"
17614,Upper East Side,"40.76443, -73.96603"
17615,Upper East Side,"40.76884, -73.95826"
17616,Upper West Side,"40.80093, -73.9601"
17617,East Harlem,"40.7993, -73.94164"
17618,Chelsea,"40.7444, -73.9994"
17619,Hell's Kitchen,"40.76328, -73.99347"
17620,Harlem,"40.81316, -73.95176"
17621,Theater District,"40.76058, -73.9855"
17622,Roosevelt Island,"40.76947, -73.94303"
17623,Midtown,"40.75546, -73.96454"
17624,Hell's Kitchen,"40.75751, -73.99112"
17625,Lower East Side,"40.71203, -73.99008"
17626,Upper West Side,"40.80056, -73.96035"
17627,Harlem,"40.82198, -73.95418"
17628,Upper West Side,"40.79569, -73.96583"
17629,Harlem,"40.80781, -73.95134"
17630,West Village,"40.73675, -73.998"
17631,Tribeca,"40.7243, -74.0111"
17632,Harlem,"40.80297, -73.9505"
17633,Harlem,"40.82632, -73.94637"
17634,Upper East Side,"40.77526, -73.95333"
17635,Financial District,"40.70951, -74.01476"
17636,Lower East Side,"40.71911, -73.98414"
17637,Harlem,"40.80739, -73.95159"
17638,Harlem,"40.80654, -73.95019"
17639,Kips Bay,"40.73957, -73.98233"
17640,East Village,"40.72547, -73.98315"
17641,Civic Center,"40.71259, -73.99897"
17642,East Village,"40.72902, -73.98814"
17643,East Harlem,"40.80305, -73.94163"
17644,Upper West Side,"40.79799, -73.97018"
17645,Chelsea,"40.74525, -73.99229"
17646,Chelsea,"40.74882, -73.99663"
17647,East Village,"40.72915, -73.98565"
17648,Midtown,"40.75199, -73.97193"
17649,Harlem,"40.80249, -73.95622"
17650,East Village,"40.72573, -73.98377"
17651,East Village,"40.73065, -73.98523"
17652,Washington Heights,"40.85043, -73.936"
17653,Chinatown,"40.71638, -73.99167"
17654,East Village,"40.73014, -73.98152"
17655,Financial District,"40.70448, -74.00615"
17656,Harlem,"40.82774, -73.94983"
17657,Hell's Kitchen,"40.76099, -73.99554"
17658,Lower East Side,"40.72235, -73.98911"
17659,Hell's Kitchen,"40.75605, -73.99541"
17660,Hell's Kitchen,"40.75662, -73.99333"
17661,Upper East Side,"40.77635, -73.94813"
17662,Midtown,"40.74921, -73.98445"
17663,Harlem,"40.80728, -73.94619"
17664,Chelsea,"40.74391, -73.99582"
17665,Upper East Side,"40.78633, -73.95218"
17666,Nolita,"40.72339, -73.99477"
17667,East Harlem,"40.78687, -73.94542"
17668,Chinatown,"40.71601, -73.99171"
17669,Harlem,"40.80371, -73.94377"
17670,Upper West Side,"40.8022, -73.9666"
17671,Chelsea,"40.75217, -73.99828"
17672,Harlem,"40.82011, -73.9404"
17673,Hell's Kitchen,"40.76198, -74.00033"
17674,Kips Bay,"40.74206, -73.98014"
17675,Midtown,"40.7611, -73.97412"
17676,Upper West Side,"40.78866, -73.96908"
17677,Morningside Heights,"40.81103, -73.95804"
17678,East Harlem,"40.78807, -73.93988"
17679,Financial District,"40.70749, -74.01413"
17680,Upper East Side,"40.77668, -73.94819"
17681,Morningside Heights,"40.81368, -73.95942"
17682,Upper West Side,"40.80047, -73.96064"
17683,Harlem,"40.81993, -73.94704"
17684,Financial District,"40.70552, -74.00841"
17685,Harlem,"40.80557, -73.94618"
17686,East Harlem,"40.79876, -73.93763"
17687,Midtown,"40.74784, -73.9862"
17688,Midtown,"40.74796, -73.98788"
17689,Upper West Side,"40.77999, -73.97997"
17690,Upper West Side,"40.80168, -73.96253"
17691,Upper West Side,"40.76829, -73.98298"
17692,Harlem,"40.80314, -73.95768"
17693,Washington Heights,"40.84282, -73.94133"
17694,East Harlem,"40.793, -73.94125"
17695,East Village,"40.72592, -73.98701"
17696,East Village,"40.72859, -73.97915"
17697,NoHo,"40.7259, -73.9939"
17698,Harlem,"40.80348, -73.95775"
17699,Hell's Kitchen,"40.76501, -73.98892"
17700,Washington Heights,"40.84519, -73.941"
17701,Two Bridges,"40.71079, -73.99304"
17702,East Village,"40.72632, -73.9846"
17703,Lower East Side,"40.71373, -73.98465"
17704,Nolita,"40.7214, -73.99635"
17705,Upper East Side,"40.78353, -73.94592"
17706,Gramercy,"40.73496, -73.98723"
17707,Harlem,"40.82385, -73.94687"
17708,Hell's Kitchen,"40.76667, -73.98341"
17709,Harlem,"40.82747, -73.94224"
17710,Gramercy,"40.73429, -73.98689"
17711,East Village,"40.72944, -73.98645"
17712,Gramercy,"40.73627, -73.9802"
17713,Upper West Side,"40.79321, -73.96823"
17714,Washington Heights,"40.84344, -73.93922"
17715,Two Bridges,"40.71222, -73.99566"
17716,Upper West Side,"40.78413, -73.97779"
17717,Murray Hill,"40.74814, -73.97277"
17718,Lower East Side,"40.72209, -73.99274"
17719,East Harlem,"40.79787, -73.93568"
17720,Hell's Kitchen,"40.76283, -73.9897"
17721,East Village,"40.72328, -73.9843"
17722,Upper West Side,"40.80121, -73.96163"
17723,Hell's Kitchen,"40.76907, -73.98814"
17724,West Village,"40.73409, -74.00621"
17725,Midtown,"40.74172, -73.98343"
17726,Harlem,"40.82216, -73.9446"
17727,Chelsea,"40.74809, -73.99272"
17728,East Village,"40.72811, -73.98453"
17729,East Village,"40.729, -73.98098"
17730,Harlem,"40.82966, -73.95021"
17731,Morningside Heights,"40.80752, -73.96713"
17732,Murray Hill,"40.74819, -73.976"
17733,Harlem,"40.80766, -73.94342"
17734,Midtown,"40.7582, -73.97843"
17735,Harlem,"40.80999, -73.9415"
17736,Upper East Side,"40.76889, -73.9548"
17737,Upper East Side,"40.76356, -73.96082"
17738,Theater District,"40.75957, -73.98798"
17739,Harlem,"40.81561, -73.95393"
17740,East Village,"40.72709, -73.99074"
17741,Harlem,"40.8252, -73.95189"
17742,West Village,"40.73279, -74.00322"
17743,East Harlem,"40.80409, -73.93988"
17744,Chelsea,"40.74584, -73.99103"
17745,East Village,"40.7281, -73.98354"
17746,East Harlem,"40.80164, -73.93922"
17747,Midtown,"40.75428, -73.96566"
17748,Upper East Side,"40.7718, -73.94916"
17749,Chinatown,"40.71692, -73.9947"
17750,Nolita,"40.72227, -73.99526"
17751,Washington Heights,"40.83493, -73.93859"
17752,Upper West Side,"40.77594, -73.98449"
17753,Upper West Side,"40.77888, -73.97967"
17754,Nolita,"40.72202, -73.99491"
17755,Washington Heights,"40.85563, -73.93509"
17756,Hell's Kitchen,"40.76113, -73.99504"
17757,Greenwich Village,"40.73385, -73.99928"
17758,East Harlem,"40.79794, -73.93223"
17759,Chelsea,"40.74143, -73.99469"
17760,Hell's Kitchen,"40.76093, -73.99014"
17761,Upper West Side,"40.7767, -73.98291"
17762,Lower East Side,"40.72077, -73.99023"
17763,Upper East Side,"40.77458, -73.95116"
17764,Harlem,"40.82733, -73.94937"
17765,East Harlem,"40.78645, -73.94873"
17766,Hell's Kitchen,"40.76189, -73.99"
17767,Harlem,"40.81118, -73.94313"
17768,Greenwich Village,"40.73125, -73.99933"
17769,Midtown,"40.76553, -73.98148"
17770,Flatiron District,"40.73927, -73.98774"
17771,Hell's Kitchen,"40.76239, -73.99227"
17772,Harlem,"40.8155, -73.93986"
17773,Upper West Side,"40.7855, -73.97642"
17774,Hell's Kitchen,"40.76714, -73.98784"
17775,East Village,"40.72931, -73.98222"
17776,Little Italy,"40.71769, -73.99854"
17777,Harlem,"40.82976, -73.94867"
17778,Midtown,"40.75176, -73.96921"
17779,Morningside Heights,"40.81464, -73.96185"
17780,Hell's Kitchen,"40.76155, -73.98687"
17781,Lower East Side,"40.72056, -73.98894"
17782,East Village,"40.72758, -73.97762"
17783,Kips Bay,"40.73961, -73.98074"
17784,Harlem,"40.82331, -73.95454"
17785,East Village,"40.7239, -73.97869"
17786,Harlem,"40.82015, -73.95747"
17787,Chelsea,"40.74383, -74.0034"
17788,West Village,"40.73233, -74.00329"
17789,Hell's Kitchen,"40.7694, -73.98736"
17790,Washington Heights,"40.84464, -73.9355"
17791,Midtown,"40.75171, -73.98642"
17792,Hell's Kitchen,"40.76054, -73.99066"
17793,Financial District,"40.70511, -74.00828"
17794,Washington Heights,"40.85447, -73.92804"
17795,Harlem,"40.8096, -73.94099"
17796,West Village,"40.73144, -74.00523"
17797,Chinatown,"40.71471, -73.99514"
17798,Hell's Kitchen,"40.76791, -73.98735"
17799,Financial District,"40.70659, -74.00501"
17800,Hell's Kitchen,"40.76843, -73.9894"
17801,Midtown,"40.75295, -73.98889"
17802,Financial District,"40.70867, -74.0003"
17803,Harlem,"40.82774, -73.94609"
17804,Lower East Side,"40.71953, -73.98364"
17805,East Village,"40.72612, -73.98946"
17806,Chelsea,"40.7459, -73.99867"
17807,Gramercy,"40.73304, -73.9843"
17808,Harlem,"40.8222, -73.94323"
17809,Upper West Side,"40.78479, -73.97521"
17810,Harlem,"40.80891, -73.94247"
17811,Harlem,"40.8076, -73.94886"
17812,Upper East Side,"40.77401, -73.9457"
17813,Midtown,"40.75342, -73.97135"
17814,Harlem,"40.80885, -73.95022"
17815,Midtown,"40.75403, -73.96714"
17816,Upper East Side,"40.77224, -73.95629"
17817,Hell's Kitchen,"40.76914, -73.98757"
17818,Midtown,"40.74698, -73.98906"
17819,Midtown,"40.76518, -73.98287"
17820,Kips Bay,"40.73905, -73.98161"
17821,East Harlem,"40.79682, -73.94876"
17822,Midtown,"40.74842, -73.98542"
17823,Midtown,"40.75697, -73.97909"
17824,Washington Heights,"40.8337, -73.9458"
17825,Harlem,"40.82761, -73.9375"
17826,Upper East Side,"40.76716, -73.96366"
17827,Chelsea,"40.73881, -73.99741"
17828,Lower East Side,"40.7127, -73.98854"
17829,Greenwich Village,"40.73108, -74.00114"
17830,East Village,"40.72517, -73.98742"
17831,East Harlem,"40.7976, -73.93947"
17832,East Village,"40.73055, -73.98875"
17833,Murray Hill,"40.74814, -73.97554"
17834,Upper East Side,"40.78352, -73.94973"
17835,Hell's Kitchen,"40.75766, -73.99089"
17836,Upper West Side,"40.8034, -73.96832"
17837,Washington Heights,"40.83367, -73.94298"
17838,Murray Hill,"40.75033, -73.97546"
17839,Lower East Side,"40.71661, -73.98916"
17840,Hell's Kitchen,"40.76228, -73.99027"
17841,Midtown,"40.76255, -73.97453"
17842,Chinatown,"40.71377, -73.99311"
17843,West Village,"40.73281, -74.00688"
17844,Hell's Kitchen,"40.75406, -73.99376"
17845,East Harlem,"40.78748, -73.95102"
17846,Upper East Side,"40.76335, -73.96831"
17847,Harlem,"40.79989, -73.95213"
17848,East Harlem,"40.80141, -73.94341"
17849,Chelsea,"40.74098, -74.00513"
17850,Upper West Side,"40.80368, -73.96662"
17851,SoHo,"40.72681, -74.00771"
17852,Lower East Side,"40.72027, -73.98565"
17853,Hell's Kitchen,"40.75381, -73.99491"
17854,East Village,"40.73045, -73.98067"
17855,Marble Hill,"40.87663, -73.91041"
17856,East Village,"40.72351, -73.98288"
17857,Gramercy,"40.73689, -73.98451"
17858,Midtown,"40.76366, -73.98342"
17859,Washington Heights,"40.84989, -73.93044"
17860,Midtown,"40.75224, -73.96652"
17861,Hell's Kitchen,"40.76825, -73.98743"
17862,Washington Heights,"40.83468, -73.93714"
17863,SoHo,"40.72324, -74.00401"
17864,East Village,"40.72801, -73.98736"
17865,Morningside Heights,"40.80647, -73.96576"
17866,Washington Heights,"40.83329, -73.93834"
17867,Upper West Side,"40.79402, -73.96398"
17868,Hell's Kitchen,"40.77111, -73.99128"
17869,Chinatown,"40.71379, -73.99112"
17870,Theater District,"40.75928, -73.98634"
17871,Hell's Kitchen,"40.76332, -73.9915"
17872,Harlem,"40.81192, -73.95239"
17873,Upper East Side,"40.76307, -73.96295"
17874,Upper West Side,"40.78549, -73.97535"
17875,East Harlem,"40.79636, -73.94342"
17876,Midtown,"40.75661, -73.97186"
17877,Upper West Side,"40.78206, -73.97797"
17878,Midtown,"40.76413, -73.98435"
17879,East Harlem,"40.78769, -73.94691"
17880,Greenwich Village,"40.73213, -73.99957"
17881,Upper East Side,"40.77021, -73.95173"
17882,Midtown,"40.74506, -73.98202"
17883,East Harlem,"40.79884, -73.9424"
17884,East Village,"40.72623, -73.98452"
17885,Harlem,"40.81747, -73.95249"
17886,Chelsea,"40.74311, -74.00718"
17887,Murray Hill,"40.74943, -73.97173"
17888,Midtown,"40.75722, -73.97842"
17889,Harlem,"40.80793, -73.95127"
17890,Chelsea,"40.74932, -74.00333"
17891,Upper East Side,"40.76273, -73.95866"
17892,Upper West Side,"40.791, -73.96809"
17893,Greenwich Village,"40.72862, -74.00054"
17894,East Harlem,"40.79376, -73.94679"
17895,Chinatown,"40.71396, -73.99771"
17896,Hell's Kitchen,"40.76413, -73.99301"
17897,East Harlem,"40.79865, -73.93638"
17898,Tribeca,"40.72034, -74.01122"
17899,Gramercy,"40.73428, -73.98521"
17900,East Village,"40.72353, -73.99059"
17901,Harlem,"40.8174, -73.94629"
17902,Inwood,"40.86238, -73.92806"
17903,Nolita,"40.72234, -73.99625"
17904,Upper West Side,"40.80188, -73.96696"
17905,SoHo,"40.72243, -74.00027"
17906,Theater District,"40.76262, -73.98305"
17907,Lower East Side,"40.7205, -73.98315"
17908,Harlem,"40.80442, -73.95629"
17909,Hell's Kitchen,"40.76021, -73.99197"
17910,Morningside Heights,"40.80395, -73.96311"
17911,Financial District,"40.70722, -74.00482"
17912,Chelsea,"40.73929, -73.99914"
17913,Washington Heights,"40.85198, -73.93108"
17914,Chelsea,"40.74708, -73.99131"
17915,East Village,"40.7242, -73.97777"
17916,Kips Bay,"40.74383, -73.97798"
17917,West Village,"40.73357, -74.00723"
17918,Chelsea,"40.74498, -73.99845"
17919,Chelsea,"40.74111, -73.99594"
17920,Upper East Side,"40.77828, -73.95492"
17921,Midtown,"40.75911, -73.96299"
17922,Kips Bay,"40.74579, -73.97887"
17923,Hell's Kitchen,"40.75435, -73.99801"
17924,Hell's Kitchen,"40.76522, -73.98779"
17925,Upper West Side,"40.7859, -73.9779"
17926,Washington Heights,"40.83927, -73.94281"
17927,East Village,"40.72391, -73.97698"
17928,Upper West Side,"40.80075, -73.9677"
17929,Harlem,"40.80242, -73.94562"
17930,Chelsea,"40.75164, -74.00146"
17931,Chelsea,"40.74164, -73.99656"
17932,Lower East Side,"40.71931, -73.98393"
17933,Midtown,"40.75417, -73.96557"
17934,Upper East Side,"40.77837, -73.95318"
17935,Washington Heights,"40.8385, -73.94313"
17936,Upper East Side,"40.76256, -73.96389"
17937,Battery Park City,"40.71111, -74.01567"
17938,Harlem,"40.82066, -73.95259"
17939,Midtown,"40.74331, -73.98351"
17940,Chinatown,"40.71659, -73.99222"
17941,Lower East Side,"40.71158, -73.98888"
17942,Harlem,"40.82957, -73.94535"
17943,Upper West Side,"40.78396, -73.97691"
17944,Chelsea,"40.74594, -73.99829"
17945,Hell's Kitchen,"40.76592, -73.98769"
17946,Upper East Side,"40.78411, -73.95097"
17947,Harlem,"40.80322, -73.95673"
17948,Harlem,"40.82105, -73.94588"
17949,Upper East Side,"40.77189, -73.9554"
17950,Upper East Side,"40.76749, -73.96246"
17951,Midtown,"40.75661, -73.96396"
17952,Upper West Side,"40.7862, -73.98089"
17953,Harlem,"40.80964, -73.94321"
17954,Washington Heights,"40.85442, -73.93266"
17955,East Village,"40.72782, -73.9862"
17956,Nolita,"40.71972, -73.99438"
17957,Little Italy,"40.71886, -73.99746"
17958,East Harlem,"40.80033, -73.941"
17959,Hell's Kitchen,"40.76865, -73.98672"
17960,Tribeca,"40.71299, -74.00972"
17961,East Village,"40.72775, -73.98253"
17962,Financial District,"40.70938, -74.01371"
17963,West Village,"40.73162, -74.00228"
17964,Harlem,"40.80782, -73.94132"
17965,Chinatown,"40.71659, -73.98949"
17966,Harlem,"40.82442, -73.9485"
17967,Lower East Side,"40.72147, -73.98733"
17968,Hell's Kitchen,"40.76338, -73.99552"
17969,West Village,"40.73496, -74.00005"
17970,Chelsea,"40.74772, -74.002"
17971,East Harlem,"40.799, -73.9428"
17972,East Village,"40.72718, -73.98238"
17973,Chelsea,"40.74506, -73.99935"
17974,Harlem,"40.82663, -73.94624"
17975,Harlem,"40.80227, -73.95523"
17976,Lower East Side,"40.71355, -73.98507"
17977,Financial District,"40.70595, -74.0118"
17978,Harlem,"40.81609, -73.93663"
17979,Hell's Kitchen,"40.76444, -73.98965"
17980,Washington Heights,"40.84911, -73.93097"
17981,Upper East Side,"40.77018, -73.95947"
17982,Chelsea,"40.7469, -73.99494"
17983,West Village,"40.73319, -74.00502"
17984,Harlem,"40.80094, -73.95219"
17985,Roosevelt Island,"40.75732, -73.95314"
17986,Harlem,"40.82433, -73.95049"
17987,West Village,"40.7334, -74.00546"
17988,Nolita,"40.72316, -73.99577"
17989,East Village,"40.72258, -73.98148"
17990,Washington Heights,"40.83456, -73.9457"
17991,East Village,"40.72939, -73.98007"
17992,Hell's Kitchen,"40.759, -73.9953"
17993,Tribeca,"40.71916, -74.00442"
17994,Chelsea,"40.73888, -73.99782"
17995,East Harlem,"40.79661, -73.93832"
17996,Upper East Side,"40.7724, -73.95762"
17997,Chelsea,"40.74326, -74.00004"
17998,Harlem,"40.82257, -73.94665"
17999,Kips Bay,"40.74015, -73.98038"
18000,Hell's Kitchen,"40.76726, -73.9901"
18001,Midtown,"40.75702, -73.96503"
18002,Hell's Kitchen,"40.76216, -73.99775"
18003,Greenwich Village,"40.73239, -73.9996"
18004,Hell's Kitchen,"40.76036, -73.99676"
18005,Gramercy,"40.73716, -73.98835"
18006,Harlem,"40.81674, -73.95292"
18007,East Harlem,"40.80605, -73.94208"
18008,Upper East Side,"40.77331, -73.95067"
18009,Financial District,"40.70795, -74.01096"
18010,East Village,"40.7214, -73.97787"
18011,East Harlem,"40.79439, -73.94129"
18012,Upper East Side,"40.78321, -73.95646"
18013,Harlem,"40.80356, -73.95666"
18014,Midtown,"40.754, -73.96531"
18015,East Village,"40.72952, -73.98229"
18016,Upper East Side,"40.76413, -73.96227"
18017,Upper East Side,"40.7722, -73.95272"
18018,East Village,"40.72803, -73.97961"
18019,Washington Heights,"40.83315, -73.94108"
18020,Morningside Heights,"40.80737, -73.95732"
18021,Upper East Side,"40.77096, -73.95512"
18022,Upper East Side,"40.77234, -73.96045"
18023,Chelsea,"40.74618, -74.00392"
18024,East Village,"40.73201, -73.98768"
18025,Harlem,"40.81497, -73.94781"
18026,East Harlem,"40.8141, -73.93602"
18027,Upper West Side,"40.77435, -73.97889"
18028,Chelsea,"40.74083, -73.99457"
18029,Financial District,"40.70714, -74.01208"
18030,Hell's Kitchen,"40.75895, -73.99509"
18031,West Village,"40.73484, -74.00364"
18032,Gramercy,"40.73283, -73.98228"
18033,Flatiron District,"40.74016, -73.98735"
18034,West Village,"40.73311, -74.00761"
18035,West Village,"40.73321, -74.00242"
18036,Hell's Kitchen,"40.76221, -73.99028"
18037,Morningside Heights,"40.80741, -73.96658"
18038,Midtown,"40.75186, -73.98557"
18039,Chelsea,"40.74286, -74.001"
18040,Financial District,"40.70423, -74.01235"
18041,Harlem,"40.82019, -73.95448"
18042,Harlem,"40.81325, -73.9398"
18043,East Village,"40.72236, -73.97756"
18044,East Village,"40.72955, -73.98298"
18045,Upper West Side,"40.78339, -73.98003"
18046,Harlem,"40.80605, -73.94889"
18047,Harlem,"40.82434, -73.95066"
18048,East Harlem,"40.80257, -73.93987"
18049,Upper East Side,"40.77179, -73.95585"
18050,Kips Bay,"40.744, -73.98054"
18051,East Harlem,"40.80002, -73.94137"
18052,Hell's Kitchen,"40.76356, -73.98814"
18053,East Village,"40.72836, -73.98163"
18054,Chelsea,"40.74935, -73.99723"
18055,Chinatown,"40.71629, -73.98975"
18056,Upper East Side,"40.77327, -73.94982"
18057,Harlem,"40.82014, -73.95433"
18058,East Village,"40.72415, -73.98411"
18059,Upper East Side,"40.77711, -73.95367"
18060,East Village,"40.72339, -73.9833"
18061,Hell's Kitchen,"40.76129, -73.9943"
18062,Upper East Side,"40.7851, -73.95254"
18063,East Village,"40.7281, -73.9839"
18064,Midtown,"40.75341, -73.97116"
18065,Chelsea,"40.74772, -73.99146"
18066,Chinatown,"40.71579, -73.99158"
18067,Chelsea,"40.74044, -74.00326"
18068,Washington Heights,"40.83956, -73.94102"
18069,Upper West Side,"40.79939, -73.96875"
18070,Civic Center,"40.71625, -74.00401"
18071,Upper West Side,"40.78721, -73.97015"
18072,Chelsea,"40.73936, -73.99965"
18073,West Village,"40.73474, -74.00867"
18074,Harlem,"40.80204, -73.95794"
18075,East Village,"40.72829, -73.98907"
18076,Upper East Side,"40.78206, -73.94949"
18077,Chelsea,"40.73981, -74.00031"
18078,Morningside Heights,"40.81615, -73.96156"
18079,Lower East Side,"40.72005, -73.98409"
18080,Midtown,"40.75298, -73.96919"
18081,East Harlem,"40.7954, -73.94926"
18082,Hell's Kitchen,"40.76272, -73.99054"
