id,neighbourhood,LAT_LONG
2075,Harlem,"40.80163, -73.95413"
2076,Morningside Heights,"40.80556, -73.96503"
2077,Midtown,"40.74644, -73.98389"
2078,Lower East Side,"40.7216, -73.98791"
2079,Harlem,"40.80646, -73.94829"
2080,Financial District,"40.70564, -74.01162"
2081,Hell's Kitchen,"40.76486, -73.99479"
2082,Financial District,"40.70785, -74.00645"
2083,Theater District,"40.76134, -73.98456"
2084,East Village,"40.72278, -73.98497"
2085,Upper West Side,"40.8, -73.96404"
2086,East Village,"40.7297, -73.97995"
2087,East Village,"40.72698, -73.98649"
2088,West Village,"40.73494, -74.00228"
2089,Upper East Side,"40.77905, -73.9535"
2090,Upper East Side,"40.77287, -73.95897"
2091,Midtown,"40.76334, -73.98257"
2092,Washington Heights,"40.84467, -73.93374"
2093,Harlem,"40.82171, -73.95346"
2094,Chelsea,"40.74945, -73.99511"
2095,East Harlem,"40.80837, -73.93937"
2096,Tribeca,"40.71838, -74.00495"
2097,Hell's Kitchen,"40.75913, -73.99185"
2098,East Village,"40.72925, -73.98005"
2099,Upper East Side,"40.77483, -73.94674"
2100,Hell's Kitchen,"40.76502, -73.98839"
2101,Gramercy,"40.73346, -73.98216"
2102,Midtown,"40.75487, -73.96898"
2103,Chinatown,"40.71609, -73.99204"
2104,Harlem,"40.82206, -73.95573"
2105,Financial District,"40.70514, -74.00921"
2106,Two Bridges,"40.71073, -73.99311"
2107,Lower East Side,"40.71434, -73.98641"
2108,Harlem,"40.80966, -73.94711"
2109,Midtown,"40.76573, -73.98295"
2110,Financial District,"40.70741, -74.00102"
2111,Harlem,"40.82452, -73.94219"
2112,West Village,"40.73326, -74.00577"
2113,Upper East Side,"40.76692, -73.95298"
2114,Washington Heights,"40.85143, -73.93089"
2115,East Village,"40.72536, -73.9856"
2116,Lower East Side,"40.72154, -73.99331"
2117,Washington Heights,"40.85557, -73.93641"
2118,Murray Hill,"40.74668, -73.97309"
2119,Harlem,"40.81688, -73.94132"
2120,Harlem,"40.80762, -73.94446"
2121,East Village,"40.72672, -73.98811"
2122,Financial District,"40.70864, -74.00675"
2123,Hell's Kitchen,"40.75906, -73.99321"
2124,East Village,"40.73323, -73.98859"
2125,East Harlem,"40.79803, -73.93648"
2126,Upper West Side,"40.79712, -73.96117"
2127,Theater District,"40.75923, -73.9865"
2128,Upper West Side,"40.77345, -73.98774"
2129,East Village,"40.72846, -73.98987"
2130,Hell's Kitchen,"40.76621, -73.98516"
2131,Upper West Side,"40.78435, -73.97579"
2132,Upper East Side,"40.77473, -73.94859"
2133,Hell's Kitchen,"40.75508, -73.99696"
2134,Inwood,"40.86763, -73.92259"
2135,Greenwich Village,"40.72849, -73.99987"
2136,East Village,"40.72067, -73.97999"
2137,Harlem,"40.81322, -73.95306"
2138,Lower East Side,"40.71281, -73.98705"
2139,NoHo,"40.72865, -73.99148"
2140,Upper West Side,"40.80057, -73.96679"
2141,Greenwich Village,"40.72818, -73.99886"
2142,Harlem,"40.82923, -73.93764"
2143,Chelsea,"40.75055, -73.99482"
2144,Midtown,"40.74439, -73.98125"
2145,Kips Bay,"40.74413, -73.97993"
2146,East Village,"40.73107, -73.98213"
2147,Lower East Side,"40.71856, -73.98485"
2148,Lower East Side,"40.71892, -73.98401"
2149,Harlem,"40.81623, -73.94907"
2150,Upper West Side,"40.79369, -73.96539"
2151,Washington Heights,"40.85882, -73.92897"
2152,Morningside Heights,"40.80593, -73.9583"
2153,East Harlem,"40.7888, -73.94247"
2154,Hell's Kitchen,"40.76655, -73.99216"
2155,Upper West Side,"40.77851, -73.97645"
2156,West Village,"40.72934, -74.00276"
2157,West Village,"40.73331, -74.00502"
2158,Midtown,"40.76555, -73.98029"
2159,Harlem,"40.80712, -73.95316"
2160,Upper West Side,"40.79732, -73.97259"
2161,Greenwich Village,"40.73051, -73.99518"
2162,Kips Bay,"40.74442, -73.98047"
2163,Midtown,"40.75355, -73.97352"
2164,West Village,"40.73399, -74.00549"
2165,Hell's Kitchen,"40.76374, -73.98872"
2166,Harlem,"40.8181, -73.94632"
2167,Inwood,"40.86866, -73.92472"
2168,Washington Heights,"40.84369, -73.94064"
2169,Hell's Kitchen,"40.76195, -73.99077"
2170,Upper East Side,"40.76882, -73.96862"
2171,Little Italy,"40.71968, -73.9968"
2172,Harlem,"40.82511, -73.95341"
2173,Two Bridges,"40.71141, -73.99408"
2174,Harlem,"40.81212, -73.94341"
2175,Upper West Side,"40.80272, -73.96629"
2176,Upper East Side,"40.77098, -73.95965"
2177,Harlem,"40.82601, -73.93795"
2178,Stuyvesant Town,"40.73232, -73.97784"
2179,West Village,"40.73001, -74.00369"
2180,Greenwich Village,"40.72837, -73.99952"
2181,Lower East Side,"40.71525, -73.98735"
2182,East Village,"40.73021, -73.98765"
2183,Kips Bay,"40.7396, -73.97938"
2184,Lower East Side,"40.72085, -73.98253"
2185,Gramercy,"40.73804, -73.9852"
2186,Upper West Side,"40.77123, -73.98782"
2187,Midtown,"40.76043, -73.97075"
2188,West Village,"40.73799, -74.00074"
2189,West Village,"40.73261, -74.00713"
2190,Hell's Kitchen,"40.7699, -73.98985"
2191,Hell's Kitchen,"40.76496, -73.99073"
2192,Harlem,"40.81662, -73.93687"
2193,East Village,"40.72621, -73.99028"
2194,Lower East Side,"40.71713, -73.98906"
2195,Harlem,"40.8114, -73.9431"
2196,Chelsea,"40.74289, -73.9953"
2197,Midtown,"40.75407, -73.96713"
2198,Chinatown,"40.717, -73.99717"
2199,Upper East Side,"40.77045, -73.94959"
2200,East Village,"40.72119, -73.98021"
2201,Upper East Side,"40.77747, -73.95193"
2202,Upper West Side,"40.77263, -73.98997"
2203,Greenwich Village,"40.72674, -73.99673"
2204,Murray Hill,"40.74811, -73.97718"
2205,Hell's Kitchen,"40.7678, -73.9868"
2206,East Harlem,"40.80242, -73.94215"
2207,Upper East Side,"40.77844, -73.94728"
2208,Murray Hill,"40.7493, -73.97376"
2209,Lower East Side,"40.72056, -73.98539"
2210,Midtown,"40.76556, -73.98197"
2211,Greenwich Village,"40.73512, -73.99445"
2212,Little Italy,"40.71763, -73.99753"
2213,Harlem,"40.79982, -73.95375"
2214,Upper West Side,"40.77208, -73.98907"
2215,Midtown,"40.7601, -73.96746"
2216,Midtown,"40.75393, -73.96612"
2217,Lower East Side,"40.72018, -73.98813"
2218,Hell's Kitchen,"40.76284, -73.99226"
2219,Theater District,"40.76278, -73.98498"
2220,Roosevelt Island,"40.76193, -73.9501"
2221,Hell's Kitchen,"40.75437, -73.99334"
2222,Greenwich Village,"40.73138, -73.99976"
2223,Harlem,"40.82287, -73.94509"
2224,Kips Bay,"40.74019, -73.98115"
2225,East Harlem,"40.79099, -73.945"
2226,Upper East Side,"40.77898, -73.94983"
2227,Greenwich Village,"40.72934, -73.99983"
2228,Kips Bay,"40.73735, -73.97952"
2229,East Village,"40.72607, -73.97851"
2230,Washington Heights,"40.84111, -73.93698"
2231,West Village,"40.73795, -74.00593"
2232,West Village,"40.73509, -74.00323"
2233,Kips Bay,"40.74398, -73.97662"
2234,Midtown,"40.75426, -73.98968"
2235,Greenwich Village,"40.72802, -73.99644"
2236,Upper West Side,"40.77942, -73.97627"
2237,Midtown,"40.75169, -73.97116"
2238,Upper West Side,"40.79416, -73.97044"
2239,Upper East Side,"40.76537, -73.9638"
2240,Washington Heights,"40.84433, -73.93948"
2241,East Village,"40.73073, -73.98105"
2242,Upper West Side,"40.7969, -73.96128"
2243,Harlem,"40.82159, -73.95013"
2244,West Village,"40.73185, -74.00589"
2245,East Village,"40.72824, -73.97543"
2246,Midtown,"40.74829, -73.98715"
2247,Upper West Side,"40.7777, -73.98796"
2248,Upper West Side,"40.78455, -73.97352"
2249,Financial District,"40.70615, -74.00752"
2250,Chelsea,"40.7429, -73.99428"
2251,Chelsea,"40.74638, -73.99094"
2252,Upper East Side,"40.76588, -73.95834"
2253,Harlem,"40.82527, -73.95359"
2254,East Village,"40.72555, -73.98499"
2255,Upper West Side,"40.79917, -73.96765"
2256,East Harlem,"40.78936, -73.94918"
2257,Theater District,"40.76237, -73.98285"
